name,category,division,latitud,longitud,sub_category,barri_id,barri
Hospital El Pilar - Institut Cardiovascular Sant Jordi,Hospitals i clíniques,equipamiento,41.400456568684135,2.148500292440888,hospitals,26,Sant Gervasi - Galvany
Centre d'Atenció Primària Vallvidrera,CAPs,equipamiento,41.41381756046356,2.1041639799133054,hospitals,22,"Vallvidrera, el Tibidabo i les Planes"
Centre d'Atenció Primària Turó,CAPs,equipamiento,41.43308238349045,2.1705788750932693,hospitals,46,el Turó de la Peira
Centre d'Atenció Primària El Clot,CAPs,equipamiento,41.41176677851338,2.193049312588346,hospitals,65,el Clot
Clínica Sant Antoni,Hospitals i clíniques,equipamiento,41.356077131947,2.143293943034445,hospitals,13,la Marina de Port
Centre d'Atenció Primària Barceloneta,CAPs,equipamiento,41.38343360981441,2.1946836219941206,hospitals,3,la Barceloneta
Clínica Oftalmològica Visioncore,Hospitals i clíniques,equipamiento,41.3997262174321,2.147936359853517,hospitals,26,Sant Gervasi - Galvany
Centre d'Atenció Primària Doctor Carles Ribas,CAPs,equipamiento,41.35829397580574,2.1443205163413563,hospitals,13,la Marina de Port
Hospital de dia - Numància,Hospitals i clíniques,equipamiento,41.38142443243878,2.141043629243917,hospitals,18,Sants
Centre d'Urgències d'Atenció Primària Hospital Dos de Maig,Centres urgències (CUAPs),equipamiento,41.41046666778343,2.176649237190462,hospitals,6,la Sagrada Família
Centre d'Atenció Primària Horta,CAPs,equipamiento,41.42884278775608,2.1569943945774512,hospitals,37,el Carmel
Centre d'Atenció Primària El Carmel,CAPs,equipamiento,41.420858819550936,2.1550353094774626,hospitals,37,el Carmel
Centre d'Atenció Primària Vila Olímpica,CAPs,equipamiento,41.39045563415485,2.1947329373295883,hospitals,67,la Vila Olímpica del Poblenou
Clínica Serveis Clinics S.A.U,Hospitals i clíniques,equipamiento,41.41251052614851,2.136094653004304,hospitals,25,Sant Gervasi - la Bonanova
Hospital de Dia,Hospitals i clíniques,equipamiento,41.41283388063477,2.2185438389937966,hospitals,70,el Besòs i el Maresme
Hospital de Barcelona,Hospitals i clíniques,equipamiento,41.3898916934532,2.129573511198016,hospitals,19,les Corts
Centre d'Atenció Primària Gòtic,CAPs,equipamiento,41.37881463871673,2.1770261515014084,hospitals,2,el Barri Gòtic
Clínica Mi Tres Torres,Hospitals i clíniques,equipamiento,41.39924899210352,2.1288603299902027,hospitals,24,les Tres Torres
Centre d'Atenció Primària Besòs,CAPs,equipamiento,41.41539857878109,2.2154475663274287,hospitals,70,el Besòs i el Maresme
Policlínica Barcelona,Hospitals i clíniques,equipamiento,41.403301493154544,2.149619802114201,hospitals,27,el Putxet i el Farró
Clínica Planas,Hospitals i clíniques,equipamiento,41.39933870913293,2.115644191358369,hospitals,23,Sarrià
Hospital Plató,Hospitals i clíniques,equipamiento,41.40130002082709,2.1424279977430216,hospitals,26,Sant Gervasi - Galvany
Centre d'Atenció Primària Passeig Maragall,CAPs,equipamiento,41.41574157238098,2.180738533712315,hospitals,64,el Camp de l'Arpa del Clot
Hospital de Dia,Hospitals i clíniques,equipamiento,41.40883994540256,2.1498524077600574,hospitals,30,la Salut
