barrio,barri_id,distrito,district_id,Área (km²),seguridad,max_sound,mobilidad,ocio,air_contam,trees,equipamiento,healthy
pedralbes,21,Les Corts,4,1.79,0.5403436141585594,3.6666000000000007,11.865921787709498,1.016759776536313,0.432285070911205,1305.592105263158,4.301675977653631,1318.1372341199874
sant genís dels agudells,39,Horta-Guiardó,7,,0.4837734783222709,3.4664000000000006,6.545454545454544,0.07,0.2454665437865748,54.36241610738254,0.7999999999999999,57.58223063072824
l'antiga esquerra de l'eixample,8,L'Eixample,2,6.08,0.433554796647004,4.9756,7.756578947368421,4.651315789473685,0.5975325785997757,0.18,1.1036184210526314,7.684825782647957
"vallvidrera, el tibidabo i les planes",22,Sarrià-Sant Gervasi,5,1.05,0.5378163680029558,3.3768000000000002,19.37142857142857,0.8666666666666667,0.18103549855994502,3.951219512195122,1.4666666666666666,21.560329550394123
can baró,34,Horta-Guiardó,7,1.05,0.4837734783222709,3.0618000000000003,3.5999999999999996,0.06666666666666668,0.2454665437865748,42.41778523489932,0.419047619047619,42.712459498504764
el parc i la llacuna del poblenou,66,Sant Martí,10,,0.4365729705419384,3.7548000000000004,0.18,0.07,0.3801511039916431,29.399999999999995,0.11,25.188475925466413
la marina del prat vermell,12,Sants-Monjuïc,3,3.38,0.47452333199625624,4.3302000000000005,7.934911242603552,0.14497041420118345,0.15938251219558663,11.541920374707258,0.16272189349112426,14.820418080811276
sant gervasi - galvany,26,Sarrià-Sant Gervasi,5,2.58,0.5378163680029558,3.0450000000000004,13.465116279069766,5.94186046511628,0.18103549855994502,173.1100049776008,2.5581395348837206,191.31126939010767
sants - badal,17,Sants-Monjuïc,3,0.52,0.47452333199625624,3.0324000000000004,10.038461538461538,1.0769230769230769,0.15938251219558663,0.3035128805620609,3.1730769230769234,10.925668574831755
el raval,1,Ciutat Vella,1,0.11,0.4553112461309183,3.9704,319.09090909090907,174.36363636363637,1.1298970759963827,60.975501113585736,56.99999999999999,605.8744382460038
el barri gòtic,2,Ciutat Vella,1,1.02,0.4553112461309183,2.9610000000000003,23.823529411764703,17.362745098039216,1.1298970759963827,6.775055679287305,2.372549019607843,45.787670886571775
el bon pastor,59,Sant Andreu,9,,0.48449643366619116,4.107600000000001,0.18,0.07,0.16,0.18,0.11,-4.212096433666192
el besòs i el maresme,70,Sant Martí,10,,0.4365729705419384,3.6246000000000005,0.18,0.07,0.3801511039916431,45.06666666666666,0.11,40.98534259213308
el poble-sec,11,Sants-Monjuïc,3,1.21,0.47452333199625624,4.2182,38.82644628099173,8.851239669421487,0.15938251219558663,1147.9615925058547,3.727272727272727,1194.5144453393489
sants,18,Sants-Monjuïc,3,0.66,0.47452333199625624,3.6498000000000004,31.909090909090903,8.06060606060606,0.15938251219558663,24.58454332552693,9.333333333333332,69.60386778436539
la barceloneta,3,Ciutat Vella,1,0.71,0.4553112461309183,3.9970000000000003,31.43661971830986,14.000000000000002,1.1298970759963827,54.88195991091314,4.183098591549296,98.91946989864499
el carmel,37,Horta-Guiardó,7,1.12,0.4837734783222709,3.6792000000000007,13.82142857142857,0.375,0.2454665437865748,31.953020134228186,3.2410714285714284,44.98208011211934
la marina de port,13,Sants-Monjuïc,3,0.73,0.47452333199625624,3.8430000000000004,19.972602739726028,1.0547945205479452,0.15938251219558663,0.18,5.726027397260273,22.4565188133424
horta,43,Horta-Guiardó,7,0.36,0.4837734783222709,2.6474,50.0,5.4444444444444455,0.2454665437865748,406.1476510067114,9.166666666666668,467.38212209571367
vallcarca i els penitents,28,Gràcia,6,0.62,0.49830546684200644,3.3824000000000005,26.709677419354836,1.4677419354838712,0.9197732494679638,254.70644391408112,5.67741935483871,283.7608039074486
provençals del poblenou,71,Sant Martí,10,,0.4365729705419384,3.3572,0.18,0.07,0.3801511039916431,43.34999999999999,0.11,39.536075925466406
la dreta de l'eixample,7,L'Eixample,2,1.05,0.433554796647004,3.6092000000000004,88.45714285714284,28.86666666666667,0.5975325785997757,0.18,12.152380952380954,125.01590310094369
les corts,19,Les Corts,4,0.78,0.5403436141585594,3.1920000000000006,47.07692307692308,8.884615384615385,0.432285070911205,290.1611842105263,9.166666666666666,351.12476065366167
torre baró,54,Nou Barris,8,,0.46532149582997046,2.9190000000000005,0.18,0.07,0.16,0.18,0.11,-3.004321495829971
navas,63,Sant Andreu,9,,0.48449643366619116,3.766,0.18,0.07,0.16,0.18,0.11,-3.870496433666191
sant andreu,60,Sant Andreu,9,,0.48449643366619116,2.5088000000000004,0.18,0.07,0.16,0.18,0.11,-2.6132964336661915
la maternitat i sant ramon,20,Les Corts,4,1.04,0.5403436141585594,3.2550000000000003,25.44230769230769,4.105769230769231,0.432285070911205,229.26315789473685,8.25,262.833606132744
la vila olímpica del poblenou,67,Sant Martí,10,,0.4365729705419384,4.8188,0.18,0.07,0.3801511039916431,77.06666666666665,0.11,71.79114259213307
la salut,30,Gràcia,6,1.61,0.49830546684200644,2.688,6.372670807453415,0.17391304347826086,0.9197732494679638,288.85918854415274,1.7080745341614905,293.00776821293596
sant gervasi - la bonanova,25,Sarrià-Sant Gervasi,5,0.62,0.5378163680029558,2.7790000000000004,31.935483870967744,7.000000000000001,0.18103549855994502,137.7640617222499,16.32258064516129,189.52427437181603
el clot,65,Sant Martí,10,,0.4365729705419384,2.6278,0.18,0.07,0.3801511039916431,84.01666666666665,0.11,80.93214259213308
les roquetes,50,Nou Barris,8,,0.46532149582997046,4.4744,0.15943312666076176,0.07,0.16,0.18,0.026793622674933563,-4.663494746494275
les tres torres,24,Sarrià-Sant Gervasi,5,0.28,0.5378163680029558,2.6488000000000005,39.85714285714286,4.5,0.18103549855994502,16.566450970632154,6.285714285714286,63.8416562469264
el poblenou,68,Sant Martí,10,,0.4365729705419384,2.653,0.18,0.07,0.3801511039916431,91.26666666666665,0.11,88.15694259213306
el camp d'en grassot i gràcia nova,32,Gràcia,6,0.6,0.49830546684200644,3.1178000000000003,31.8,3.5000000000000004,0.9197732494679638,0.18,4.216666666666667,35.1607879503567
la bordeta,16,Sants-Monjuïc,3,0.55,0.47452333199625624,3.1962,16.363636363636363,1.5272727272727273,0.15938251219558663,28.361592505854798,3.9999999999999996,46.42239575257205
montbau,40,Horta-Guiardó,7,1.0,0.4837734783222709,3.3348000000000004,6.66,0.56,0.2454665437865748,130.60570469798657,3.08,136.84166467587772
"sant pere, santa caterina i la ribera",4,Ciutat Vella,1,1.14,0.4553112461309183,3.0940000000000003,26.05263157894737,15.596491228070178,1.1298970759963827,1131.4743875278396,4.1491228070175445,1172.5934248197475
ciutat meridiana,55,Nou Barris,8,,0.46532149582997046,2.8784,0.18,0.07,0.16,0.18,0.11,-2.9637214958299705
sant antoni,10,L'Eixample,2,0.73,0.433554796647004,4.558400000000001,44.13698630136986,12.465753424657535,0.5975325785997757,13.898123324396781,5.123287671232877,70.03466334641027
