name,category,division,latitud,longitud,sub_category,barri,barri_id
Auditòrium,Auditoris,equipamiento,41.38283778118398,2.17681821745256,cines,el Barri Gòtic,2
Teatre,Teatres,equipamiento,41.435729446052186,2.186493921607426,cines,Sant Andreu,60
Sala de Cinema,Cinemes,equipamiento,41.376851005705056,2.17340795601217,cines,el Raval,1
Teatre,Teatres,equipamiento,41.41045029224206,2.182460746363005,cines,el Camp de l'Arpa del Clot,64
Teatre Romea,Teatres,equipamiento,41.380585019147226,2.17108258231102,cines,el Raval,1
Villarroel Teatre,Teatres,equipamiento,41.38454651248055,2.157517255862469,cines,l'Antiga Esquerra de l'Eixample,8
Teatre CCCB,Teatres,equipamiento,41.38391450226559,2.1668129104163323,cines,el Raval,1
Gran Teatre del Liceu,Auditoris,equipamiento,41.38014677441643,2.1733467293401083,cines,el Raval,1
Gran Teatre del Liceu,Teatres,equipamiento,41.38014677441643,2.1733467293401083,cines,el Raval,1
Gran Teatre del Liceu,WiFi BCN,equipamiento,41.38014677441643,2.1733467293401083,cines,el Raval,1
Teatre Condal,Teatres,equipamiento,41.374807336003386,2.1647278359171005,cines,el Poble-sec,11
Teatre,Teatres,equipamiento,41.37899885278571,2.174645972944881,cines,el Raval,1
Teatre Coliseum,Teatres,equipamiento,41.38819696920228,2.166179379678894,cines,la Dreta de l'Eixample,7
Teatre,Teatres,equipamiento,41.431748352607,2.1896711822825803,cines,Sant Andreu,60
Sants Teatre,Teatres,equipamiento,41.37440012502334,2.134881704408589,cines,Sants,18
Teatre,Teatres,equipamiento,41.37940473936599,2.1652328279668542,cines,el Raval,1
Teatre,Teatres,equipamiento,41.43016210504191,2.1602384620653163,cines,Horta,43
Auditori Sant Martí,Auditoris,equipamiento,41.416235289112166,2.1991348465828184,cines,Sant Martí de Provençals,72
Auditori Sant Martí,WiFi BCN,equipamiento,41.416235289112166,2.1991348465828184,cines,Sant Martí de Provençals,72
Auditori,Auditoris,equipamiento,41.38181496935082,2.1167473290451104,cines,la Maternitat i Sant Ramon,20
Teatre,Teatres,equipamiento,41.36980570082708,2.1377953451607983,cines,la Bordeta,16
