Incidencias,Barcelona,"Ciutat Vella",L'Eixample,Sants-Monjuïc,"Les Corts","Sarrià-Sant Gervasi",Gràcia,Horta-Guiardó,"Nou Barris","Sant Andreu","Sant Martí",personal
Hurto,57.263,12.282,13.009,6.209,2.602,2.863,2.288,2.68,2.987,4.123,7.453,mossos
Estafas,17.655,1.252,3.354,1.959,951,1.753,1.314,1.595,1.53,1.446,2.46,mossos
Dańos,11.289,1.423,1.875,1.294,511,829,690,981,920,854,1.876,mossos
"Robo con fuerza interior vehículo",11.153,1.502,2.51,1.167,822,902,448,774,495,588,1.836,mossos
"Robo con violencia y/o intimidación",10.957,2.858,1.806,1.342,388,669,400,520,669,626,1.601,mossos
"Robo con fuerza",6.358,757,1.159,687,345,706,415,643,406,444,793,mossos
Lesiones,5.211,881,891,772,151,231,211,386,523,411,738,mossos
"Apropiación indebida",3.746,1.627,709,326,128,171,97,106,122,135,317,mossos
Amenaces,3.167,449,428,436,104,142,129,303,433,314,425,mossos
"Robo y hurto de uso de vehículo",2.362,106,456,224,124,273,190,255,176,163,387,mossos
"Ocupación inmuebles",1.499,206,124,237,15,30,55,159,338,193,141,mossos
"Contra la salud pública",1.353,608,247,138,14,25,20,50,120,46,84,mossos
"Otros delitos contra el orden público",1.116,368,217,146,36,40,19,43,88,52,101,mossos
"Quebrantamiento de condena",829,204,82,112,28,27,29,65,62,69,151,mossos
"Falsedades documentales",690,67,125,215,33,36,21,26,66,27,68,mossos
Coacciones,643,93,99,88,30,51,38,55,46,54,85,mossos
"Abusos sexuales",538,86,93,79,20,37,27,36,33,48,68,mossos
"Descubrimiento y revelación de secretos",409,39,87,39,37,56,22,30,26,40,32,mossos
"Agresiones sexuales",264,62,34,34,3,8,7,25,31,21,37,mossos
"Entrada en domicilio ajeno",219,49,39,37,5,15,12,18,10,10,24,mossos
"Trato degradante / vejatorio",158,15,23,30,7,4,8,16,17,14,24,mossos
"Receptación y otras conductas afines",155,56,30,20,1,8,0,6,11,9,14,mossos
"De la usurpación de estado civil",144,17,32,19,5,10,17,16,6,4,15,mossos
"Contra los derechos y deberes familiares",132,10,14,20,0,3,2,11,42,16,14,mossos
"Falsificación de moneda y efectos timbrados",94,10,13,9,6,1,6,5,8,15,20,mossos
"Defraudaciones de fluido eléctrico y análogas",76,4,15,7,2,7,8,7,3,6,17,mossos
"Propiedad industrial",69,15,4,8,1,1,4,4,23,4,5,mossos
Extorsión,63,3,12,7,3,3,10,9,7,5,4,mossos
"Desordenes públicos",60,10,18,10,5,3,4,1,3,2,3,mossos
"Contra ejercicio derechos fundamentales y libertades públicas",57,11,16,10,2,3,2,3,1,2,3,mossos
Usurpación,51,7,10,10,1,0,3,9,4,2,5,mossos
"Usurpación de funciones públicas e intrusismo",48,5,11,4,2,2,2,4,6,5,7,mossos
"Homicidio tentativa",40,10,6,7,0,1,2,1,4,2,7,mossos
"Exhibicionismo y provocación sexual",29,8,4,3,2,1,0,4,2,2,3,mossos
"Obstrucción a la justicia y deslealtad profesional",29,7,3,6,2,1,1,2,2,3,2,mossos
Incendio,25,2,1,6,0,0,1,7,3,2,3,mossos
"Protección de la flora, fauna y animales domésticos",25,8,3,4,0,2,0,0,3,2,3,mossos
Injuria,23,2,3,9,3,2,0,1,0,1,2,mossos
"Detención ilegal",20,6,4,4,0,1,2,0,1,1,1,mossos
"Organizaciones y grupos criminales",19,3,3,3,2,3,0,1,0,0,4,mossos
"Relativos a la prostitución",19,4,4,2,2,1,2,0,3,1,0,mossos
"Acusación, denuncia falsa y simulación de delitos",18,3,6,2,0,0,1,2,1,1,2,mossos
"Realización arbitraria del propio derecho",14,2,1,2,1,2,0,2,1,1,2,mossos
"Acoso sexual",12,3,1,0,1,1,1,1,0,2,1,mossos
"Blanqueo de capitales",7,3,0,3,0,0,1,0,0,0,0,mossos
"Homicidio consumado",7,1,1,0,1,0,1,1,0,2,0,mossos
Soborno,7,2,0,0,0,0,0,0,3,2,0,mossos
"Administración desleal",6,1,1,1,1,0,0,0,0,1,1,mossos
"Contra las instituciones de Estado y división de poderes",6,1,2,3,0,0,0,0,0,0,0,mossos
Calumnia,5,0,1,0,0,3,1,0,0,0,0,mossos
"Tráfico de seres humanos",5,1,1,1,1,0,0,0,1,0,0,mossos
"Contra el patrimonio histórico",4,4,0,0,0,0,0,0,0,0,0,mossos
"Homicidio por imprudencia",4,0,0,1,1,1,0,0,0,0,1,mossos
"Propiedad intelectual",4,0,2,1,1,0,0,0,0,0,0,mossos
"Reunión, manifestación ilícita",4,0,2,0,0,0,1,0,0,1,0,mossos
"Contra la libertad de consciencia, religión y respeto a los difuntos",3,1,0,0,1,0,0,1,0,0,0,mossos
Malversación,3,2,1,0,0,0,0,0,0,0,0,mossos
"Contra los derechos de los trabajadores",2,0,0,0,0,0,1,0,0,0,1,mossos
"Frustración de ejecución",2,1,0,1,0,0,0,0,0,0,0,mossos
"Omisión de los deberes de impedir delitos",2,0,0,1,0,0,0,0,0,0,1,mossos
Secuestro,2,1,0,1,0,0,0,0,0,0,0,mossos
"Sustracción de cosa propia de utilidad social",2,0,0,0,0,0,0,1,0,0,1,mossos
"Asesinato consumado",1,0,0,1,0,0,0,0,0,0,0,mossos
