address,bikes,category,division,latitud,longitud,sub_category
Gran Via Corts Catalanes 760,16,bicing,mobilidad,41.397952,2.180042,bicing
Roger de Flor/ Gran Vía 126,18,bicing,mobilidad,41.39553,2.17706,bicing
Nàpols 82,22,bicing,mobilidad,41.394055,2.181299,bicing
Ribes 13,21,bicing,mobilidad,41.39348,2.181555,bicing
Pg Lluís Companys 11,39,bicing,mobilidad,41.391075,2.180223,bicing
Pg Lluís Companys 18,38,bicing,mobilidad,41.391349,2.18061,bicing
Pg Lluís Companys 1,24,bicing,mobilidad,41.388856,2.183251,bicing
Pg Lluís Companys 2,23,bicing,mobilidad,41.389088,2.183568,bicing
Marquès de l'Argentera 13,26,bicing,mobilidad,41.384532,2.184921,bicing
Passeig Marítim 19,20,bicing,mobilidad,41.381689,2.193914,bicing
Pg Marítim Barceloneta 23,18,bicing,mobilidad,41.384538,2.195679,bicing
Avinguda Litoral 16,25,bicing,mobilidad,41.386861,2.195761,bicing
Avinguda del Marques Argentera 15,26,bicing,mobilidad,41.384675,2.185039,bicing
Girona 68,17,bicing,mobilidad,41.394812,2.171189,bicing
Av. Meridiana 47,14,bicing,mobilidad,41.39827,2.186708,bicing
Av. Meridiana 47,9,bicing,mobilidad,41.398237,2.186711,bicing
Rosselló 453,2,bicing,mobilidad,41.406086,2.174167,bicing
Rosselló 354,0,bicing,mobilidad,41.403282,2.170726,bicing
Cartagena 308,3,bicing,mobilidad,41.410166,2.175759,bicing
Sant Antoni Maria Claret 214,0,bicing,mobilidad,41.410897,2.17402,bicing
Sardenya 292,4,bicing,mobilidad,41.401684,2.17568,bicing
Bruc 45,18,bicing,mobilidad,41.392526,2.171812,bicing
Marina 199,12,bicing,mobilidad,41.400659,2.179111,bicing
Bruc 102,4,bicing,mobilidad,41.395179,2.168294,bicing
Dos Maig 230,10,bicing,mobilidad,41.407035,2.181981,bicing
Provença 322,7,bicing,mobilidad,41.396897,2.164373,bicing
Sardenya 362,1,bicing,mobilidad,41.405422,2.17064,bicing
Provença 388,5,bicing,mobilidad,41.401132,2.170028,bicing
Diagonal 231,2,bicing,mobilidad,41.402046,2.182286,bicing
Plaça del Mar 72,13,bicing,mobilidad,41.37481,2.18895,bicing
Plaça del Mar 1,3,bicing,mobilidad,41.373698,2.188927,bicing
Pontevedra 58B,20,bicing,mobilidad,41.376862,2.190773,bicing
Sant Pere Més Alt 4,5,bicing,mobilidad,41.387074,2.175247,bicing
Sant Ramon de Penyafort 1,27,bicing,mobilidad,41.413592,2.221153,bicing
Catedral 6,13,bicing,mobilidad,41.385151,2.176804,bicing
Pl. Antonio López nan,23,bicing,mobilidad,41.381226,2.181888,bicing
Pl. Pau Vila nan,18,bicing,mobilidad,41.381129,2.186397,bicing
Pl. Pau Vila nan,21,bicing,mobilidad,41.381046,2.186576,bicing
Doctor Aiguader 2,15,bicing,mobilidad,41.382335,2.187093,bicing
Pl. Poeta Boscà/Atlàntida nan,6,bicing,mobilidad,41.379326,2.189906,bicing
Ciutat de Granada 168,0,bicing,mobilidad,41.404511,2.189881,bicing
Av Meridiana 66,0,bicing,mobilidad,41.402285,2.187111,bicing
Sardenya 66,15,bicing,mobilidad,41.391429,2.189312,bicing
Ramon trias Fargas 19,27,bicing,mobilidad,41.388359,2.193004,bicing
Ramon Trias Fargas 23,35,bicing,mobilidad,41.389831,2.191147,bicing
Meridiana 40,10,bicing,mobilidad,41.396085,2.187073,bicing
Rosa Sensat en front 20,12,bicing,mobilidad,41.39106,2.196457,bicing
Av. Paral.lel 54,25,bicing,mobilidad,41.375,2.17035,bicing
Pl. Vicenç Martorell nan,0,bicing,mobilidad,41.384054,2.169019,bicing
Pl. Carles Pi i Sunyer nan,11,bicing,mobilidad,41.385227,2.173878,bicing
Sant Oleguer 2,14,bicing,mobilidad,41.377635,2.170586,bicing
La Rambla 80,15,bicing,mobilidad,41.381154,2.173497,bicing
Portal de Santa Madrona 2,25,bicing,mobilidad,41.377011,2.175834,bicing
La Rambla 2,25,bicing,mobilidad,41.376758,2.177093,bicing
Plaça dels Àngels 1,13,bicing,mobilidad,41.382822,2.167154,bicing
Plaça dels Àngels 2,17,bicing,mobilidad,41.382781,2.167203,bicing
Rambla Catalunya 47,0,bicing,mobilidad,41.390349,2.16424,bicing
Rambla Catalunya 42,8,bicing,mobilidad,41.390143,2.164946,bicing
Pl. Catalunya 5,15,bicing,mobilidad,41.387142,2.168858,bicing
Pl. Catalunya 7,20,bicing,mobilidad,41.386439,2.169417,bicing
Pl. Catalunya nan,10,bicing,mobilidad,41.387469,2.169048,bicing
Pl. Catalunya nan,12,bicing,mobilidad,41.387678,2.169587,bicing
Gran Via 609,6,bicing,mobilidad,41.389097,2.167933,bicing
Rocafort 214,3,bicing,mobilidad,41.385012,2.145843,bicing
Rambla Catalunya 133,3,bicing,mobilidad,41.395364,2.157356,bicing
Avda. Litoral nan,22,bicing,mobilidad,41.386814,2.195689,bicing
Comte Urgell 23,17,bicing,mobilidad,41.380347,2.160695,bicing
Floridablanca 145,13,bicing,mobilidad,41.381931,2.162969,bicing
Provença 215,1,bicing,mobilidad,41.392716,2.158811,bicing
Enric Granados 93,6,bicing,mobilidad,41.392278,2.156183,bicing
Josep Tarradellas 133,0,bicing,mobilidad,41.390062,2.143272,bicing
Josep Tarradellas 58,1,bicing,mobilidad,41.385081,2.142868,bicing
Còrsega 216,0,bicing,mobilidad,41.391751,2.153123,bicing
Pl. Universitat nan,9,bicing,mobilidad,41.385598,2.16338,bicing
Pl. Universitat nan,11,bicing,mobilidad,41.38547,2.16333,bicing
Enric Granados 35,5,bicing,mobilidad,41.389687,2.159999,bicing
Vilamarí davant 61,9,bicing,mobilidad,41.378915,2.149174,bicing
Rocafort 72,33,bicing,mobilidad,41.379016,2.153799,bicing
Comte Borrell 177,11,bicing,mobilidad,41.384075,2.153654,bicing
Comte d'Urgell 75 B,14,bicing,mobilidad,41.383047,2.157033,bicing
Paral·lel 146,22,bicing,mobilidad,41.375076,2.159046,bicing
Viladomat 2,19,bicing,mobilidad,41.37544,2.163,bicing
Mallorca 41,4,bicing,mobilidad,41.383156,2.148506,bicing
Londres 101,0,bicing,mobilidad,41.393547,2.150764,bicing
Rosselló 101,0,bicing,mobilidad,41.38824,2.150252,bicing
Rosselló 108,0,bicing,mobilidad,41.38834,2.150825,bicing
Comte Borrell 119,24,bicing,mobilidad,41.380452,2.158403,bicing
Provença 241,0,bicing,mobilidad,41.39386,2.160237,bicing
Gran Via 375,10,bicing,mobilidad,41.375454,2.149786,bicing
Gran Via 375,18,bicing,mobilidad,41.375619,2.149889,bicing
Tarragona 103,27,bicing,mobilidad,41.376428,2.147734,bicing
Gran Via 361,8,bicing,mobilidad,41.374152,2.148154,bicing
Tarragona 141,18,bicing,mobilidad,41.378124,2.145389,bicing
Viriat 45,16,bicing,mobilidad,41.380499,2.141153,bicing
Viriat 53,15,bicing,mobilidad,41.380632,2.141548,bicing
Tarragona 159,10,bicing,mobilidad,41.379135,2.14409,bicing
Av. Diagonal 602,9,bicing,mobilidad,41.39243,2.14321,bicing
Av. Diagonal 612,18,bicing,mobilidad,41.39218,2.14213,bicing
Aragó 629,12,bicing,mobilidad,41.409856,2.188217,bicing
C/València 621,12,bicing,mobilidad,41.410821,2.187365,bicing
PL. Urquinaona 9,8,bicing,mobilidad,41.389197,2.173555,bicing
Pl. Joanic s/n,16,bicing,mobilidad,41.405587,2.162317,bicing
Travessera de Gracia 92,0,bicing,mobilidad,41.398373,2.153154,bicing
Indústria 10,2,bicing,mobilidad,41.402314,2.164961,bicing
C/ Londres 53,0,bicing,mobilidad,41.390981,2.14737,bicing
Avda. Roma 136,8,bicing,mobilidad,41.385377,2.154878,bicing
